Date,Close
1973-10-12,978.63
1973-10-15,967.04
1973-10-16,967.41
1973-10-17,962.52
1973-10-18,959.74
1973-10-19,963.73
1973-10-22,960.57
1973-10-23,966.51
1973-10-24,971.85
1973-10-25,974.49
1973-10-26,987.06
1973-10-29,984.8
1973-10-30,968.54
1973-10-31,956.58
1973-11-01,948.83
1973-11-02,935.28
1973-11-05,919.4
1973-11-06,913.08
1973-11-07,920.08
1973-11-08,932.65
1973-11-09,908.41
1973-11-12,897.65
1973-11-13,891.03
1973-11-14,869.88
1973-11-15,874.55
1973-11-16,891.33
1973-11-19,862.66
1973-11-20,844.9
1973-11-21,854.98
1973-11-23,854.0
1973-11-26,824.95
1973-11-27,817.73
1973-11-28,839.78
1973-11-29,835.11
1973-11-30,822.25
1973-12-03,806.52
1973-12-04,803.21
1973-12-05,788.31
1973-12-06,814.12
1973-12-07,838.05
1973-12-10,851.14
1973-12-11,834.18
1973-12-12,810.73
1973-12-13,800.43
1973-12-14,815.65
1973-12-17,811.12
1973-12-18,829.49
1973-12-19,829.57
1973-12-20,828.11
1973-12-21,818.73
1973-12-24,814.81
1973-12-26,837.56
1973-12-27,851.01
1973-12-28,848.02
1973-12-31,850.86
1974-01-02,855.32
1974-01-03,880.69
1974-01-04,880.23
1974-01-07,876.85
1974-01-08,861.78
1974-01-09,834.79
1974-01-10,823.11
1974-01-11,841.48
1974-01-14,840.18
1974-01-15,846.4
1974-01-16,856.09
1974-01-17,872.16
1974-01-18,855.47
1974-01-21,854.63
1974-01-22,863.47
1974-01-23,871.0
1974-01-24,863.08
1974-01-25,859.39
1974-01-28,853.01
1974-01-29,852.32
1974-01-30,862.32
1974-01-31,855.55
1974-02-01,843.94
1974-02-04,821.5
1974-02-05,820.64
1974-02-06,824.62
1974-02-07,828.46
1974-02-08,820.4
1974-02-11,803.9
1974-02-12,806.63
1974-02-13,806.87
1974-02-14,809.92
1974-02-15,820.32
1974-02-19,819.54
1974-02-20,831.04
1974-02-21,846.84
1974-02-22,855.99
1974-02-25,851.38
1974-02-26,859.51
1974-02-27,863.42
1974-02-28,860.53
1974-03-01,851.92
1974-03-04,853.18
1974-03-05,872.42
1974-03-06,879.85
1974-03-07,869.06
1974-03-08,878.05
1974-03-11,888.45
1974-03-12,887.12
1974-03-13,891.66
1974-03-14,889.78
1974-03-15,887.83
1974-03-18,874.22
1974-03-19,867.57
1974-03-20,872.34
